Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[b]",Total infections,New cases,Total deaths,New deaths
24 Feb,,14,,,,,,,,,,,,,,,2,16,,,
25 Feb,1,14,,,,,,,,1,,,,,,,2,18,2,,
26 Feb,3,14,,,,,,,,2,,,,,,,2,21,3,,
27 Feb,6,14,,,,,,,,4,,,,,,,2,26,5,,
28 Feb,10,15,,,,,,,,25,,,,,1,,2,53,27,,
29 Feb,14,15,,,,,3,,,30,1,,,,1,,2,66,13,,
1 Mar,15,19,,,1,1,8,1,,66,2,,,,2,,2,117,51,,
2 Mar,19,25,1,,1,1,10,1,,86,2,,,,2,,2,150,33,,
3 Mar,26,35,3,1,1,2,10,1,,101,2,,1,,2,1,2,188,38,,
4 Mar,44,48,6,1,2,2,12,4,3,111,2,1,1,,2,1,2,240,52,,
5 Mar,65,52,9,1,3,8,14,10,4,175,7,1,1,,3,1,,349,109,,
6 Mar,91,79,15,1,3,8,15,18,5,281,8,1,1,,7,1,,534,185,,
7 Mar,116,117,24,2,4,12,16,19,5,346,10,2,2,,8,1,,684,150,,
8 Mar,182,148,28,2,4,13,17,21,7,392,15,4,4,,8,2,,847,163,,
9 Mar,199,256,40,6,4,17,20,33,8,484 ,19,5,10,,9,2,,1112,265,2,2
10 Mar,237,314,48,9,4,29,35,49,13,648  ,25,7,22,7,9,4,,1460,348 ,2,
11 Mar,277,366,90,24,21,48,48,75,17,801  ,25,14,26,15,27,10,,1884 ,424 ,3,1
12 Mar,454 ,500 ,137,30,38,88,99,129,23,688  ,52,14,45,27,31,14,,2369,485,5,2
13 Mar,454 ,558 ,174,44,42,99,148,230,33,936 ,102,40,83,42,48,29,,3062,693,5,
14 Mar,569 ,681 ,216,61,50,158,203,253,45,1154 ,121,40,93,45,60,46,,3795,733,8,3
15 Mar,827 ,886 ,283,84,53,162,286,287,50,1407 ,168,32,130,47,103,51,,4838,1043,12,4
16 Mar,1105 ,1067 ,300,94,56,260,342,391,51,1541 ,325,85,140,77,123,55,,6012 ,1174 ,13,1
17 Mar,1479 ,1109 ,345,73,57,310,373,325,45,2105 ,442,75,182,58,127,51,,7156,1144,12,
18 Mar,1609 ,1243 ,391,92,69,358,432,478,56,2372 ,474,88,198,105,159,74,,8198,1042,12,
19 Mar,2155 ,1692 ,573,134,80,432,682,669,98,3033 ,637,99,275,140,202,98,,10999,2801,20,8
20 Mar,2746 ,2401 ,731,192,121,586,813 ,803,131,3497 ,801 ,146,394,180,266 ,149,,13957,2958,31,11
21 Mar,3668 ,2960 ,866 ,254,142,587,1080 ,1023,165,3542 ,938 ,187,567,188,308 ,187,,16662,2705,47,16
22 Mar,3807 ,3650 ,1024 ,274,165,872,1175 ,1306 ,172,3545 ,1053 ,187,606,211,347 ,216,,18610,1948,55,8
23 Mar,3811 ,4892 ,1077 ,288,170,943,1347 ,1483 ,172,5615 ,1177 ,200,653,212,383 ,249,,22672,4062,86,31
24 Mar,5348 ,5754 ,1220 ,343,183,1043,1620 ,1764 ,199,6318 ,1370 ,337 ,811 ,321,478 ,327 ,,27436,4764,114,28
25 Mar,6069 ,6558 ,1428 ,429 ,200,1262,1754 ,2140 ,218,7197 ,1591 ,403 ,959 ,375,577 ,394 ,,31554,4118,149,35
26 Mar,7283 ,7993 ,1656 ,477 ,211 ,1265,2157 ,2347 ,244,7924 ,1816 ,433 ,1141 ,418 ,675 ,468 ,,36508,4954,198,49
27 Mar,8161 ,9481 ,1955 ,537 ,241 ,1693 ,2323 ,2810 ,259,9235 ,1971 ,505 ,1305 ,458 ,812 ,542 ,,42288,5780,253,55
28 Mar,9781 ,11150 ,2161 ,645 ,260 ,1765 ,2604 ,3150 ,308,10607 ,2212 ,550 ,1432 ,458  ,915 ,584 ,,48582 ,6294 ,325 ,72 
29 Mar,9794  ,12881 ,2360 ,721 ,275 ,1846 ,2605  ,3450 ,348 ,11400 ,2396 ,560  ,1617 ,592  ,1005 ,697 ,,52547 ,3965 ,389 ,64 
30 Mar,10943  ,13989 ,2464 ,761 ,286 ,2053 ,3091  ,3732 ,356 ,12178 ,2584 ,706  ,1795 ,592  ,1049 ,719 ,,57298 ,4751 ,455 ,66 
31 Mar,12334 ,14810 ,2575 ,798 ,294 ,2191 ,3283 ,4063 ,366 ,13225 ,2726 ,782 ,1882 ,680  ,1120 ,784 ,,61913,4615,583,128
1 Apr,13410 ,16497 ,2754 ,881 ,311 ,2311 ,3445 ,4382 ,406 ,14351 ,2899 ,829 ,2034 ,750 ,1246 ,860 ,,67366,5453,732,149
2 Apr,14662 ,18496 ,2970 ,995 ,327 ,2406 ,3707 ,4695 ,438 ,15427 ,3132 ,1020 ,2183 ,804 ,1335 ,925 ,,73522,6156,872,140
3 Apr,16059 ,20237 ,3202 ,1075 ,341 ,2596 ,3993 ,5081 ,468 ,16606 ,3362 ,1079 ,2336 ,836 ,1443 ,982 ,,79696,6174,1017,145
